id,source,title,content,category
1,netflix_titles.csv,Kill Bill: Vol. 1 Kill Bill Vol 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.
    
Genre: Action, Crime, Thriller
Type: movie
Release Year: 2003
Director: Quentin Tarantino
Actors: Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine Uma Thurman Lucy Liu Vivica A Fox Daryl Hannah David Carradine
IMDB Rating: 8.2
Available in 67 countries",Action
2,netflix_titles.csv,Jarhead,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.
    
Genre: Biography, Drama, War
Type: movie
Release Year: 2005
Director: Sam Mendes
Actors: Jake Gyllenhaal, Jamie Foxx, Peter Sarsgaard, Scott MacDonald, Chris Cooper Jake Gyllenhaal Jamie Foxx Peter Sarsgaard Scott MacDonald Chris Cooper
IMDB Rating: 7.0
Available in 70 countries",Biography
3,netflix_titles.csv,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.
    
Genre: Drama, Romance, Sci-Fi
Type: movie
Release Year: 2004
Director: Michel Gondry
Actors: Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood Jim Carrey Kate Winslet Kirsten Dunst Mark Ruffalo Elijah Wood
IMDB Rating: 8.3
Available in 126 countries",Drama
4,netflix_titles.csv,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.
    
Genre: Drama, Romance
Type: movie
Release Year: 1995
Director: Richard Linklater
Actors: Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl, Karl Bruckschwaiger Ethan Hawke Julie Delpy Andrea Eckert Hanno Pöschl Karl Bruckschwaiger
IMDB Rating: 8.1
Available in 3 countries",Drama
5,netflix_titles.csv,Nausicaä of the Valley of the Wind,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.
    
Genre: Adventure, Animation, Sci-Fi
Type: movie
Release Year: 1984
Director: Hayao Miyazaki
Actors: Sumi Shimamoto, Ichiro Nagai, Gorō Naya, Youji Matsuda, Yoshiko Sakakibara Sumi Shimamoto Ichiro Nagai Gorō Naya Youji Matsuda Yoshiko Sakakibara
IMDB Rating: 8.0
Available in 128 countries",Adventure
6,netflix_titles.csv,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.
    
Genre: Crime, Drama
Type: movie
Release Year: 1976
Director: Martin Scorsese
Actors: Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle Robert De Niro Jodie Foster Cybill Shepherd Harvey Keitel Peter Boyle
IMDB Rating: 8.2
Available in 78 countries",Crime
7,netflix_titles.csv,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.
    
Genre: Comedy, Crime
Type: movie
Release Year: 2000
Director: Guy Ritchie
Actors: Brad Pitt, Jason Statham, Alan Ford, Stephen Graham, Dennis Farina Brad Pitt Jason Statham Alan Ford Stephen Graham Dennis Farina
IMDB Rating: 8.2
Available in 30 countries",Comedy
8,netflix_titles.csv,Princess Mononoke,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.
    
Genre: Adventure, Animation, Fantasy
Type: movie
Release Year: 1997
Director: Hayao Miyazaki
Actors: Youji Matsuda, Yuriko Ishida, Yuko Tanaka, Kaoru Kobayashi, Masahiko Nishimura Youji Matsuda Yuriko Ishida Yuko Tanaka Kaoru Kobayashi Masahiko Nishimura
IMDB Rating: 8.3
Available in 128 countries",Adventure
9,netflix_titles.csv,Spirited Away,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.
    
Genre: Adventure, Animation, Family
Type: movie
Release Year: 2001
Director: Hayao Miyazaki
Actors: Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naito, Yasuko Sawaguchi Rumi Hiiragi Miyu Irino Mari Natsuki Takashi Naito Yasuko Sawaguchi
IMDB Rating: 8.6
Available in 128 countries",Adventure
10,netflix_titles.csv,Groundhog Day,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.
    
Genre: Comedy, Drama, Fantasy
Type: movie
Release Year: 1993
Director: Harold Ramis
Actors: Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray Bill Murray Andie MacDowell Chris Elliott Stephen Tobolowsky Brian DoyleMurray
IMDB Rating: 8.0
Available in 17 countries",Comedy
11,netflix_titles.csv,Jackie Brown,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan — with help from a bail bondsman — to keep the money for herself.
    
Genre: Crime, Drama, Thriller
Type: movie
Release Year: 1997
Director: Quentin Tarantino
Actors: Pam Grier, Samuel L. Jackson, Robert De Niro, Bridget Fonda, Michael Keaton Pam Grier Samuel L Jackson Robert De Niro Bridget Fonda Michael Keaton
IMDB Rating: 7.5
Available in 22 countries",Crime
12,netflix_titles.csv,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.
    
Genre: Crime, Drama
Type: movie
Release Year: 1972
Director: Francis Ford Coppola
Actors: Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano Marlon Brando Al Pacino James Caan Robert Duvall Richard S Castellano
IMDB Rating: 9.2
Available in 114 countries",Crime
13,netflix_titles.csv,Terminator 2: Judgment Day Terminator 2 Judgment Day,"Set ten years after the events of the original, James Cameron’s classic sci-fi action flick tells the story of a second attempt to get rid of rebellion leader John Connor, this time targeting the boy himself. However, the rebellion has sent a reprogrammed terminator to protect Connor.
    
Genre: Action, Adventure, Sci-Fi
Type: movie
Release Year: 1991
Director: James Cameron
Actors: Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen Arnold Schwarzenegger Linda Hamilton Edward Furlong Robert Patrick Earl Boen
IMDB Rating: 8.6
Available in 75 countries",Action
14,netflix_titles.csv,Kill Bill: Vol. 2 Kill Bill Vol 2,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.
    
Genre: Action, Crime, Thriller
Type: movie
Release Year: 2004
Director: Quentin Tarantino
Actors: Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen, Gordon Liu Chia-Hui Uma Thurman David Carradine Daryl Hannah Michael Madsen Gordon Liu ChiaHui
IMDB Rating: 8.0
Available in 66 countries",Action
15,netflix_titles.csv,Basic Instinct,"Catherine, a novelist with an insatiable sexual appetite, becomes a prime suspect when her boyfriend is brutally murdered -- a crime she had described in her latest story.
    
Genre: Drama, Mystery, Thriller
Type: movie
Release Year: 1992
Director: Paul Verhoeven
Actors: Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn, Denis Arndt Michael Douglas Sharon Stone George Dzundza Jeanne Tripplehorn Denis Arndt
IMDB Rating: 7.1
Available in 49 countries",Drama
16,netflix_titles.csv,The Day After Tomorrow,"After paleoclimatologist Jack Hall is largely ignored by UN officials when presenting his environmental concerns about the beginning of a new Ice Age, his research proves true when a superstorm develops, setting off catastrophic natural disasters throughout the world. Trying to get to his son, Sam, who is trapped in New York City with his friend Laura and others, Jack and his crew must travel to get to Sam before it's too late.
    
Genre: Action, Adventure, Sci-Fi
Type: movie
Release Year: 2004
Director: Roland Emmerich
Actors: Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok, Jay O. Sanders Dennis Quaid Jake Gyllenhaal Emmy Rossum Dash Mihok Jay O Sanders
IMDB Rating: 6.5
Available in 82 countries",Action
17,netflix_titles.csv,Love Actually,"Eight London couples try to deal with their relationships in different ways. Their tryst with love makes them discover how complicated relationships can be.
    
Genre: Comedy, Drama, Romance
Type: movie
Release Year: 2003
Director: Richard Curtis
Actors: Hugh Grant, Alan Rickman, Emma Thompson, Liam Neeson, Martine McCutcheon Hugh Grant Alan Rickman Emma Thompson Liam Neeson Martine McCutcheon
IMDB Rating: 7.6
Available in 58 countries",Comedy
18,netflix_titles.csv,Spider-Man SpiderMan,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.
    
Genre: Action, Adventure, Sci-Fi
Type: movie
Release Year: 2002
Director: Sam Raimi
Actors: Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson Tobey Maguire Willem Dafoe Kirsten Dunst James Franco Cliff Robertson
IMDB Rating: 7.4
Available in 97 countries",Action
19,netflix_titles.csv,Spider-Man 2 SpiderMan 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...
    
Genre: Action, Adventure, Sci-Fi
Type: movie
Release Year: 2004
Director: Sam Raimi
Actors: Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris
IMDB Rating: 7.5
Available in 58 countries",Action
20,netflix_titles.csv,Spider-Man 3 SpiderMan 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.
    
Genre: Action, Adventure, Sci-Fi
Type: movie
Release Year: 2007
Director: Sam Raimi
Actors: Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace
IMDB Rating: 6.3
Available in 95 countries",Action
21,netflix_titles.csv,The Mummy,"Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.
    
Genre: Action, Adventure, Fantasy
Type: movie
Release Year: 1999
Director: Stephen Sommers
Actors: Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo, Patricia Velásquez Brendan Fraser Rachel Weisz John Hannah Arnold Vosloo Patricia Velásquez
IMDB Rating: 7.1
Available in 117 countries",Action
22,netflix_titles.csv,2 Fast 2 Furious,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.
    
Genre: Action, Crime, Thriller
Type: movie
Release Year: 2003
Director: John Singleton
Actors: Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser, Ludacris Paul Walker Tyrese Gibson Eva Mendes Cole Hauser Ludacris
IMDB Rating: 5.9
Available in 129 countries",Action
23,netflix_titles.csv,The Da Vinci Code,"A murder in Paris’ Louvre Museum and cryptic clues in some of Leonardo da Vinci’s most famous paintings lead to the discovery of a religious mystery. For 2,000 years a secret society closely guards information that — should it come to light — could rock the very foundations of Christianity.
    
Genre: Mystery, Thriller
Type: movie
Release Year: 2006
Director: Ron Howard
Actors: Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno, Paul Bettany Tom Hanks Audrey Tautou Ian McKellen Jean Reno Paul Bettany
IMDB Rating: 6.6
Available in 42 countries",Mystery
24,netflix_titles.csv,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.
    
Genre: Drama, Romance
Type: movie
Release Year: 1997
Director: James Cameron
Actors: Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher Leonardo DiCaprio Kate Winslet Billy Zane Kathy Bates Frances Fisher
IMDB Rating: 7.9
Available in 119 countries",Drama
25,netflix_titles.csv,Munich,"During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack.
    
Genre: Drama, History, Thriller
Type: movie
Release Year: 2005
Director: Steven Spielberg
Actors: Eric Bana, Daniel Craig, Ciarán Hinds, Mathieu Kassovitz, Hanns Zischler Eric Bana Daniel Craig Ciarán Hinds Mathieu Kassovitz Hanns Zischler
IMDB Rating: 7.5
Available in 89 countries",Drama
26,netflix_titles.csv,The Ninth Gate,"An all-expenses-paid international search for a rare copy of the book 'The Nine Gates of the Kingdom of Shadows' brings an unscrupulous book dealer deep into a world of murder, double-dealing and Satanic worship.
    
Genre: Mystery, Thriller
Type: movie
Release Year: 1999
Director: Roman Polanski
Actors: Johnny Depp, Frank Langella, Lena Olin, Emmanuelle Seigner, Barbara Jefford Johnny Depp Frank Langella Lena Olin Emmanuelle Seigner Barbara Jefford
IMDB Rating: 6.7
Available in 44 countries",Mystery
